match_id,season_id,division,group_id,player_a_id,player_b_id,score_a,score_b,winner_id,score_model
2012-s3-A-GA-0-5,2012-s3,A,2012-s3-A-GA,P1808,P1752,7,3,P1808,set-scores
2012-s3-A-GA-1-2,2012-s3,A,2012-s3-A-GA,P0772,P1251,1,9,P1251,set-scores
2012-s3-A-GA-1-3,2012-s3,A,2012-s3-A-GA,P0772,P1731,7,3,P0772,set-scores
2012-s3-A-GA-1-4,2012-s3,A,2012-s3-A-GA,P0772,P0368,1,9,P0368,set-scores
2012-s3-A-GA-1-5,2012-s3,A,2012-s3-A-GA,P0772,P1752,4,6,P1752,set-scores
2012-s3-A-GA-1-6,2012-s3,A,2012-s3-A-GA,P0772,P0024,7,3,P0772,set-scores
2012-s3-A-GA-2-3,2012-s3,A,2012-s3-A-GA,P1251,P1731,7,3,P1251,set-scores
2012-s3-A-GA-2-4,2012-s3,A,2012-s3-A-GA,P1251,P0368,3,7,P0368,set-scores
2012-s3-A-GA-2-5,2012-s3,A,2012-s3-A-GA,P1251,P1752,4,6,P1752,set-scores
2012-s3-A-GA-2-6,2012-s3,A,2012-s3-A-GA,P1251,P0024,8,2,P1251,set-scores
2012-s3-A-GA-3-4,2012-s3,A,2012-s3-A-GA,P1731,P0368,0,10,P0368,set-scores
2012-s3-A-GA-4-5,2012-s3,A,2012-s3-A-GA,P0368,P1752,6,4,P0368,set-scores
2012-s3-A-GA-4-6,2012-s3,A,2012-s3-A-GA,P0368,P0024,8,2,P0368,set-scores
2012-s3-A-GA-5-6,2012-s3,A,2012-s3-A-GA,P1752,P0024,7,3,P1752,set-scores
2012-s3-A-GB-0-1,2012-s3,A,2012-s3-A-GB,P1353,P1732,3,7,P1732,set-scores
2012-s3-A-GB-0-3,2012-s3,A,2012-s3-A-GB,P1353,P1765,3,7,P1765,set-scores
2012-s3-A-GB-0-4,2012-s3,A,2012-s3-A-GB,P1353,P1096,3,7,P1096,set-scores
2012-s3-A-GB-0-6,2012-s3,A,2012-s3-A-GB,P1353,P1531,4,6,P1531,set-scores
2012-s3-A-GB-1-2,2012-s3,A,2012-s3-A-GB,P1732,P1755,7,3,P1732,set-scores
2012-s3-A-GB-1-3,2012-s3,A,2012-s3-A-GB,P1732,P1765,8,2,P1732,set-scores
2012-s3-A-GB-1-4,2012-s3,A,2012-s3-A-GB,P1732,P1096,6,4,P1732,set-scores
2012-s3-A-GB-1-5,2012-s3,A,2012-s3-A-GB,P1732,P1835,8,2,P1732,set-scores
2012-s3-A-GB-1-6,2012-s3,A,2012-s3-A-GB,P1732,P1531,8,2,P1732,set-scores
2012-s3-A-GB-2-3,2012-s3,A,2012-s3-A-GB,P1755,P1765,4,6,P1765,set-scores
2012-s3-A-GB-2-4,2012-s3,A,2012-s3-A-GB,P1755,P1096,3,7,P1096,set-scores
2012-s3-A-GB-2-6,2012-s3,A,2012-s3-A-GB,P1755,P1531,5,5,,set-scores
2012-s3-A-GB-3-4,2012-s3,A,2012-s3-A-GB,P1765,P1096,4,6,P1096,set-scores
2012-s3-A-GB-3-5,2012-s3,A,2012-s3-A-GB,P1765,P1835,5,5,,set-scores
2012-s3-A-GB-3-6,2012-s3,A,2012-s3-A-GB,P1765,P1531,7,3,P1765,set-scores
2012-s3-A-GB-4-6,2012-s3,A,2012-s3-A-GB,P1096,P1531,7,3,P1096,set-scores
2012-s3-A-GB-5-6,2012-s3,A,2012-s3-A-GB,P1835,P1531,4,6,P1531,set-scores
2012-s3-A-GC-0-1,2012-s3,A,2012-s3-A-GC,P1775,P1845,7,3,P1775,set-scores
2012-s3-A-GC-0-2,2012-s3,A,2012-s3-A-GC,P1775,P0951,7,3,P1775,set-scores
2012-s3-A-GC-0-3,2012-s3,A,2012-s3-A-GC,P1775,P1588,4,6,P1588,set-scores
2012-s3-A-GC-0-4,2012-s3,A,2012-s3-A-GC,P1775,P0182,4,6,P0182,set-scores
2012-s3-A-GC-0-5,2012-s3,A,2012-s3-A-GC,P1775,P1771,7,3,P1775,set-scores
2012-s3-A-GC-0-6,2012-s3,A,2012-s3-A-GC,P1775,P1419,4,6,P1419,set-scores
2012-s3-A-GC-1-2,2012-s3,A,2012-s3-A-GC,P1845,P0951,4,6,P0951,set-scores
2012-s3-A-GC-1-3,2012-s3,A,2012-s3-A-GC,P1845,P1588,3,7,P1588,set-scores
2012-s3-A-GC-1-6,2012-s3,A,2012-s3-A-GC,P1845,P1419,4,6,P1419,set-scores
2012-s3-A-GC-2-3,2012-s3,A,2012-s3-A-GC,P0951,P1588,6,4,P0951,set-scores
2012-s3-A-GC-2-4,2012-s3,A,2012-s3-A-GC,P0951,P0182,4,6,P0182,set-scores
2012-s3-A-GC-2-5,2012-s3,A,2012-s3-A-GC,P0951,P1771,8,2,P0951,set-scores
2012-s3-A-GC-2-6,2012-s3,A,2012-s3-A-GC,P0951,P1419,4,6,P1419,set-scores
2012-s3-A-GC-3-4,2012-s3,A,2012-s3-A-GC,P1588,P0182,2,8,P0182,set-scores
2012-s3-A-GC-3-5,2012-s3,A,2012-s3-A-GC,P1588,P1771,6,4,P1588,set-scores
2012-s3-A-GC-3-6,2012-s3,A,2012-s3-A-GC,P1588,P1419,7,3,P1588,set-scores
2012-s3-A-GC-4-5,2012-s3,A,2012-s3-A-GC,P0182,P1771,5,5,,set-scores
2012-s3-A-GC-4-6,2012-s3,A,2012-s3-A-GC,P0182,P1419,6,4,P0182,set-scores
2012-s3-A-GD-0-1,2012-s3,A,2012-s3-A-GD,P0969,P1830,8,2,P0969,set-scores
2012-s3-A-GD-0-2,2012-s3,A,2012-s3-A-GD,P0969,P1104,6,4,P0969,set-scores
2012-s3-A-GD-0-3,2012-s3,A,2012-s3-A-GD,P0969,P0464,8,2,P0969,set-scores
2012-s3-A-GD-0-4,2012-s3,A,2012-s3-A-GD,P0969,P1396,9,1,P0969,set-scores
