player_lo_id,player_hi_id,matches,lo_wins,hi_wins,draws,lo_games,hi_games,group_matches,playoff_matches,last_season
P0001,P0017,1,1,0,0,10,0,1,0,2005-s3
P0001,P0025,1,1,0,0,9,1,1,0,2005-s3
P0123,P0132,1,0,1,0,1,9,1,0,2005-s4
P0051,P0123,1,0,1,0,4,6,1,0,2005-s4
P0123,P0153,1,1,0,0,10,0,1,0,2005-s4
P0123,P0143,1,1,0,0,9,1,1,0,2005-s4
P0009,P0123,1,0,1,0,2,8,1,0,2005-s4
P0086,P0123,1,0,1,0,4,6,1,0,2005-s4
P0051,P0132,1,0,1,0,3,7,1,0,2005-s4
P0132,P0153,1,1,0,0,8,2,1,0,2005-s4
P0132,P0143,1,0,1,0,4,6,1,0,2005-s4
P0009,P0132,1,0,1,0,4,6,1,0,2005-s4
P0086,P0132,1,0,1,0,4,6,1,0,2005-s4
P0051,P0153,1,1,0,0,7,3,1,0,2005-s4
P0051,P0143,1,0,1,0,2,8,1,0,2005-s4
P0009,P0051,1,0,0,1,5,5,1,0,2005-s4
P0051,P0086,1,1,0,0,6,4,1,0,2005-s4
P0143,P0153,1,1,0,0,6,4,1,0,2005-s4
P0009,P0153,1,1,0,0,6,4,1,0,2005-s4
P0086,P0153,1,1,0,0,7,3,1,0,2005-s4
P0009,P0143,1,1,0,0,6,4,1,0,2005-s4
P0086,P0143,1,0,0,1,5,5,1,0,2005-s4
P0009,P0086,1,1,0,0,8,2,1,0,2005-s4
P0032,P0073,1,1,0,0,9,1,1,0,2005-s4
P0073,P0151,1,0,1,0,4,6,1,0,2005-s4
P0073,P0091,1,1,0,0,8,2,1,0,2005-s4
P0072,P0073,1,0,1,0,2,8,1,0,2005-s4
P0073,P0124,1,1,0,0,6,4,1,0,2005-s4
P0073,P0120,1,1,0,0,8,2,1,0,2005-s4
P0032,P0151,1,1,0,0,10,0,1,0,2005-s4
P0032,P0091,1,1,0,0,6,4,1,0,2005-s4
P0032,P0072,1,1,0,0,7,3,1,0,2005-s4
P0032,P0124,1,1,0,0,10,0,1,0,2005-s4
P0032,P0120,1,1,0,0,7,3,1,0,2005-s4
P0091,P0151,1,1,0,0,10,0,1,0,2005-s4
P0072,P0151,1,1,0,0,9,1,1,0,2005-s4
P0124,P0151,1,1,0,0,6,4,1,0,2005-s4
P0072,P0091,1,0,1,0,4,6,1,0,2005-s4
P0091,P0124,1,0,1,0,4,6,1,0,2005-s4
P0091,P0120,1,1,0,0,7,3,1,0,2005-s4
